text,font_size,font_name,is_bold,is_italic,x0,x1,y0,y1,y_pos,text_alignment,line_spacing,page,is_uppercase,num_words,text_length,contains_colon_or_dot,is_numbered_heading,has_bullets_or_dashes,pdf_file
Application form for grant of LTC advance,11.669999999999959,"OIKOMH+Arial,Bold",1,0,199.86,437.1904560000002,722.8979300000001,734.56793,728.7329300000001,left,,1,0,7,41,0,0,0,file01.pdf
1.,9.744399999999928,OIKPLG+Tahoma-Bold,1,0,70.02,82.1225448,694.3129536,704.0573535999999,699.1851535999999,left,30.510576400000105,1,0,1,2,1,0,0,file01.pdf
2.,9.744399999999928,OIKPLG+Tahoma-Bold,1,0,70.02000000000001,82.12254480000001,676.198114,685.942514,681.070314,left,18.114839599999982,1,0,1,2,1,0,0,file01.pdf
3.,9.744399999999928,OIKPLG+Tahoma-Bold,1,0,70.02000000000001,82.12254480000001,649.3230588,659.0674587999999,654.1952587999999,left,26.87505520000002,1,0,1,2,1,0,0,file01.pdf
Name of the Government Servant,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,243.44011235999992,697.2557624,707.0001623999999,702.1279623999999,left,47.93270359999997,1,0,5,30,0,0,0,file01.pdf
Designation,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,149.32674828,679.1993892,688.9437892,684.0715892000001,left,18.05637319999994,1,0,1,11,0,0,0,file01.pdf
Date  of  entering  the  Central  Government,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,296.01992031999987,661.0845496000001,670.8289496,665.9567496,left,18.114839599999982,1,0,6,44,0,0,0,file01.pdf
Service,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,129.72978544,643.505652,653.250052,648.3778520000001,left,17.578897600000005,1,0,1,7,0,0,0,file01.pdf
PAY + SI + NPA,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,168.89447792000004,625.3908124000001,635.1352124,630.2630124,left,18.114839599999982,1,1,5,14,0,0,0,file01.pdf
4.,9.744399999999928,OIKPLG+Tahoma-Bold,1,0,70.02000000000001,82.12254480000001,622.4480036000001,632.1924036,627.3202036,left,2.942808799999966,1,0,1,2,1,0,0,file01.pdf
5.  Whether permanent or temporary,9.744399999999928,OILBGN+Tahoma,0,0,70.02000000000001,244.1037059999999,604.3331640000001,617.0788392000001,610.7060016,left,15.113564399999973,1,0,5,34,1,0,0,file01.pdf
6.,9.744399999999928,OIKPLG+Tahoma-Bold,1,0,70.02000000000001,82.12254480000001,589.1513888000002,598.8957888000001,594.0235888000002,left,18.183050399999956,1,0,1,2,1,0,0,file01.pdf
Home Town as recorded in the Service Book,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,289.52722659999984,589.1513888000002,598.8957888000001,594.0235888000002,left,0.0,1,0,8,41,0,0,0,file01.pdf
Whether  wife  /  husband  is  employed  and  if,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,295.9497606400002,576.9708888000002,586.7152888000002,581.8430888000003,left,12.180499999999938,1,0,8,48,0,0,0,file01.pdf
7.,9.744399999999928,OIKPLG+Tahoma-Bold,1,0,70.02000000000001,82.12254480000001,565.2093980000002,574.9537980000001,570.0815980000002,left,11.761490800000047,1,0,1,2,1,0,0,file01.pdf
8.,9.744399999999928,OIKPLG+Tahoma-Bold,1,0,70.02000000000001,82.12254480000001,520.6872344000002,530.4316344000001,525.5594344000001,left,44.5221636,1,0,1,2,1,0,0,file01.pdf
9.,9.744400000000041,OIKPLG+Tahoma-Bold,1,0,70.02000000000001,82.12254480000001,467.41459960000014,477.1589996000002,472.28679960000017,left,53.272634799999935,1,0,1,2,1,0,0,file01.pdf
so whether entitled to LTC,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,212.82515643999994,559.3919912000002,569.1363912000002,564.2641912000001,left,91.97739159999998,1,0,5,26,0,0,0,file01.pdf
Whether  the  concession  is  to  be  availed  for,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,295.9478117599998,541.2674072000002,551.0118072000001,546.1396072000002,left,18.124584000000027,1,0,8,50,0,0,0,file01.pdf
visiting home  town and  if  so block for  which,9.744399999999928,OILBGN+Tahoma,0,0,95.9985704,296.04817907999995,523.6885096000002,533.4329096000001,528.5607096000001,left,17.578897600000005,1,0,9,48,0,0,0,file01.pdf
LTC is to be availed.,9.744400000000041,OILBGN+Tahoma,0,0,95.9985704,186.05046856000004,506.05114560000015,515.7955456000002,510.9233456000002,left,17.637363999999934,1,0,5,21,1,0,0,file01.pdf
(a)  If  the  concession  is  to  visit  anywhere  in,9.744400000000041,OILBGN+Tahoma,0,0,95.9985704,296.0062781600001,487.99477240000016,497.7391724000002,492.8669724000002,left,18.056373199999996,1,0,9,53,0,0,0,file01.pdf
"India, the place to be visited.",9.744400000000041,OILBGN+Tahoma,0,0,95.9985704,224.38396372000003,470.35740840000017,480.1018084000002,475.2296084000002,left,17.63736399999999,1,0,6,31,1,0,0,file01.pdf
(b) Block for which to be availed.,9.744400000000041,OILBGN+Tahoma,0,0,95.9985704,241.29147216000015,452.77851080000016,462.5229108000002,457.6507108000002,left,17.578897600000005,1,0,7,34,1,0,0,file01.pdf
Single,9.744400000000041,OILBGN+Tahoma,0,0,95.9985704,124.84394328000002,434.6539268000002,444.39832680000023,439.5261268000002,left,18.12458399999997,1,0,1,6,0,0,0,file01.pdf
rail,9.744400000000041,OILBGN+Tahoma,0,0,136.13867732,152.30561136000006,434.6539268000002,444.39832680000023,439.5261268000002,left,0.0,1,0,1,4,0,0,0,file01.pdf
fare/bus,9.744400000000041,OILBGN+Tahoma,0,0,163.60034540000004,202.41229060000003,434.6539268000002,444.39832680000023,439.5261268000002,left,0.0,1,0,1,8,0,0,0,file01.pdf
