text,page,pdf_file,label
Application form for grant of LTC advance,1,file01.pdf,TITLE
1.,1,file01.pdf,OTHER
2.,1,file01.pdf,OTHER
3.,1,file01.pdf,OTHER
Name of the Government Servant,1,file01.pdf,OTHER
Designation,1,file01.pdf,OTHER
Date  of  entering  the  Central  Government,1,file01.pdf,OTHER
Service,1,file01.pdf,OTHER
PAY + SI + NPA,1,file01.pdf,OTHER
4.,1,file01.pdf,OTHER
5.  Whether permanent or temporary,1,file01.pdf,OTHER
6.,1,file01.pdf,OTHER
Home Town as recorded in the Service Book,1,file01.pdf,OTHER
Whether  wife  /  husband  is  employed  and  if,1,file01.pdf,OTHER
7.,1,file01.pdf,OTHER
8.,1,file01.pdf,OTHER
9.,1,file01.pdf,OTHER
so whether entitled to LTC,1,file01.pdf,OTHER
Whether  the  concession  is  to  be  availed  for,1,file01.pdf,OTHER
visiting home  town and  if  so block for  which,1,file01.pdf,OTHER
LTC is to be availed.,1,file01.pdf,OTHER
(a)  If  the  concession  is  to  visit  anywhere  in,1,file01.pdf,OTHER
"India, the place to be visited.",1,file01.pdf,OTHER
(b) Block for which to be availed.,1,file01.pdf,OTHER
Single,1,file01.pdf,OTHER
rail,1,file01.pdf,OTHER
fare/bus,1,file01.pdf,OTHER
fare,1,file01.pdf,OTHER
from,1,file01.pdf,OTHER
the,1,file01.pdf,OTHER
10.,1,file01.pdf,OTHER
headquarters  to  home  town/place  of  visit  by,1,file01.pdf,OTHER
shortest route.,1,file01.pdf,OTHER
Persons in respect of whom LTC is proposed to be availed.,1,file01.pdf,OTHER
Name,1,file01.pdf,OTHER
Age,1,file01.pdf,OTHER
Relationship,1,file01.pdf,OTHER
S.No,1,file01.pdf,OTHER
1.,1,file01.pdf,OTHER
2.,1,file01.pdf,OTHER
3.,1,file01.pdf,OTHER
4.,1,file01.pdf,OTHER
5.,1,file01.pdf,OTHER
6.,1,file01.pdf,OTHER
Amount of advance required.,1,file01.pdf,OTHER
Rs.,1,file01.pdf,OTHER
11.,1,file01.pdf,OTHER
12.,1,file01.pdf,OTHER
I  declare  that  the  particulars  furnished  above  are  true  and  correct  to  the  best  of  my  knowledge.,1,file01.pdf,OTHER
I,1,file01.pdf,OTHER
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,1,file01.pdf,OTHER
In  the  event  of  cancellation  of  the  journey  or  if  I  fail  to  produce  the  tickets  within  ten  days  of  receipt of,1,file01.pdf,OTHER
"advance, I undertake to refund the entire advance in one lump sum.",1,file01.pdf,OTHER
Date,1,file01.pdf,OTHER
Signature of Government Servant.,1,file01.pdf,OTHER
Overview,1,file02.pdf,TITLE
Foundation Level Extensions,1,file02.pdf,TITLE
Version 1.0,1,file02.pdf,OTHER
International Software Testing Qualifications Board,1,file02.pdf,TITLE
Copyright Notice,1,file02.pdf,OTHER
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",1,file02.pdf,OTHER
Overview,2,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,2,file02.pdf,OTHER
International,2,file02.pdf,OTHER
Software Testing,2,file02.pdf,OTHER
Qualifications Board,2,file02.pdf,OTHER
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,2,file02.pdf,OTHER
Version 2014,2,file02.pdf,OTHER
Page 2 of 12,2,file02.pdf,OTHER
"May 31, 2014",2,file02.pdf,OTHER
© International Software Testing Qualifications Board,2,file02.pdf,OTHER
Overview,3,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,3,file02.pdf,OTHER
International,3,file02.pdf,OTHER
Software Testing,3,file02.pdf,OTHER
Qualifications Board,3,file02.pdf,OTHER
Revision History,3,file02.pdf,H1
Version,3,file02.pdf,H1
0.1,3,file02.pdf,OTHER
0.2,3,file02.pdf,OTHER
0.3,3,file02.pdf,OTHER
0.7,3,file02.pdf,OTHER
0.8,3,file02.pdf,OTHER
1.0,3,file02.pdf,OTHER
Date,3,file02.pdf,OTHER
18 JUNE 2013,3,file02.pdf,OTHER
23 JULY 2013,3,file02.pdf,OTHER
6 NOV 2013,3,file02.pdf,OTHER
11 DEC 2013,3,file02.pdf,OTHER
20 DEC 2013,3,file02.pdf,OTHER
31 MAY 2014,3,file02.pdf,OTHER
Remarks,3,file02.pdf,H1
Initial version,3,file02.pdf,OTHER
WG reviewed and confirmed,3,file02.pdf,OTHER
amended population and diagram,3,file02.pdf,OTHER
Amended Business Outcomes and Chapters matching,3,file02.pdf,OTHER
Working group updates on 0.7,3,file02.pdf,OTHER
GA release for Agile Extension,3,file02.pdf,OTHER
Version 2014,3,file02.pdf,OTHER
Page 3 of 12,3,file02.pdf,OTHER
"May 31, 2014",3,file02.pdf,OTHER
© International Software Testing Qualifications Board,3,file02.pdf,OTHER
Overview,4,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,4,file02.pdf,OTHER
International,4,file02.pdf,OTHER
Software Testing,4,file02.pdf,OTHER
Qualifications Board,4,file02.pdf,OTHER
Table of Contents,4,file02.pdf,H1
Revision History,4,file02.pdf,H1
..........................................................................................................................................,4,file02.pdf,OTHER
3,4,file02.pdf,OTHER
Table of Contents,4,file02.pdf,H1
........................................................................................................................................,4,file02.pdf,OTHER
4,4,file02.pdf,OTHER
1.,4,file02.pdf,OTHER
2.,4,file02.pdf,OTHER
Introduction to the Foundation Level Extensions,4,file02.pdf,OTHER
............................................................................,4,file02.pdf,OTHER
6,4,file02.pdf,OTHER
Introduction to Foundation Level Agile Tester Extension,4,file02.pdf,OTHER
...............................................................,4,file02.pdf,OTHER
7,4,file02.pdf,OTHER
2.1,4,file02.pdf,OTHER
Intended Audience,4,file02.pdf,OTHER
2.2  Career Paths for Testers,4,file02.pdf,OTHER
Learning Objectives,4,file02.pdf,OTHER
2.3,4,file02.pdf,OTHER
Entry Requirements,4,file02.pdf,OTHER
2.4,4,file02.pdf,OTHER
Structure and Course Duration,4,file02.pdf,OTHER
2.5,4,file02.pdf,OTHER
Keeping It Current,4,file02.pdf,OTHER
2.6,4,file02.pdf,OTHER
.....................................................................................................................,4,file02.pdf,OTHER
............................................................................................................,4,file02.pdf,OTHER
...................................................................................................................,4,file02.pdf,OTHER
...................................................................................................................,4,file02.pdf,OTHER
...................................................................................................,4,file02.pdf,OTHER
......................................................................................................................,4,file02.pdf,OTHER
7,4,file02.pdf,OTHER
7,4,file02.pdf,OTHER
7,4,file02.pdf,OTHER
8,4,file02.pdf,OTHER
8,4,file02.pdf,OTHER
9,4,file02.pdf,OTHER
3.  Overview of the Foundation Level Extension – Agile Tester Syllabus,4,file02.pdf,OTHER
.........................................,4,file02.pdf,OTHER
10,4,file02.pdf,OTHER
3.1,4,file02.pdf,OTHER
3.2  Content,4,file02.pdf,OTHER
Business Outcomes,4,file02.pdf,OTHER
.................................................................................................................,4,file02.pdf,OTHER
....................................................................................................................................,4,file02.pdf,OTHER
10,4,file02.pdf,OTHER
10,4,file02.pdf,OTHER
4.  References,4,file02.pdf,OTHER
..........................................................................................................................................,4,file02.pdf,OTHER
12,4,file02.pdf,OTHER
Trademarks,4,file02.pdf,OTHER
4.1,4,file02.pdf,OTHER
4.2  Documents and Web Sites,4,file02.pdf,OTHER
.............................................................................................................................,4,file02.pdf,OTHER
.......................................................................................................,4,file02.pdf,OTHER
12,4,file02.pdf,OTHER
12,4,file02.pdf,OTHER
Version 2014,4,file02.pdf,OTHER
Page 4 of 12,4,file02.pdf,OTHER
"May 31, 2014",4,file02.pdf,OTHER
© International Software Testing Qualifications Board,4,file02.pdf,OTHER
Overview,5,file02.pdf,OTHER
Foundation Level Extension – Agile Tester,5,file02.pdf,OTHER
International,5,file02.pdf,OTHER
Software Testing,5,file02.pdf,OTHER
Qualifications Board,5,file02.pdf,OTHER
Acknowledgements,5,file02.pdf,H1
This document was produced by a team from the International Software Testing Qualifications Board,5,file02.pdf,OTHER
Foundation Level Working Group.,5,file02.pdf,OTHER
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,5,file02.pdf,OTHER
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",5,file02.pdf,OTHER
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",5,file02.pdf,OTHER
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",5,file02.pdf,OTHER
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",5,file02.pdf,OTHER
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",5,file02.pdf,OTHER
